BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;0;4671598911638;74;61;0x4000
0;0;4672039255482;51;33;0x4000
0;0;4673990043826;1272;1097;0x4000
0;0;4674005877187;49;35;0x4000
0;0;4686665352324;191;180;0x4000
0;0;4708427678339;459;380;0x4000
0;0;4711112542920;112;93;0x4000
0;0;4716976496194;352;300;0x4000
0;0;4716980386085;36;40;0x4000
0;0;4722968512319;93;80;0x4000
0;0;4731772478140;241;200;0x4000
0;0;4740065230145;402;338;0x4000
0;0;4740708345764;49;32;0x4000
0;0;4747550798062;68;58;0x4000
0;0;4748893271061;33;31;0x4000
0;0;4767658011920;52;49;0x4000
0;0;4774604744944;62;50;0x4000
0;0;4792201740233;408;352;0x4000
0;0;4805373723177;143;118;0x4000
0;0;4809534028452;50;42;0x4000
0;0;4812663496257;80;69;0x4000
0;0;4822743585046;52;48;0x4000
0;0;4831467424388;65;46;0x4000
0;0;4845363566210;134;112;0x4000
0;0;4846641123092;73;48;0x4000
0;0;4856447149186;540;410;0x4000
0;0;4859213334717;115;103;0x4000
0;0;4861483867436;41;42;0x4000
0;0;4862036953608;63;63;0x4000
0;0;4862430934983;66;54;0x4000
0;0;4880814267920;24;22;0x4000
0;0;4892524097733;35;34;0x4000
0;0;4893615580951;30;30;0x4000
0;0;4894495827935;23;19;0x4000
0;0;4909752351405;37;34;0x4000
0;0;4914366800397;154;127;0x4000
0;0;4936906747843;49;30;0x4000
0;0;4936957853795;42;41;0x4000
0;0;4938707721029;102;82;0x4000
